id,age_group,gender,race_ethnicity,housing_status,has_dependents,prior_probation_violation,prior_incarceration,substance_abuse_history,mental_health_issues,gang_affiliation,aggression_history,compliance_history,motivation_to_change,stable_employment_past,positive_social_support,education_level,marital_status,employment_status,prior_convictions,juvenile_convictions,recidivism,recidivism_pred,prediction_probability,mitigations,qualifiers,mental_disorder_partially,deaf_15-17,unjust_provocation_moderate,unjust_provocation_mild,age_15-17,age_12-14,discretionary_mitigation,deaf_18-21,unjust_provocation_severe,failed_crime,femicide,tradition,premeditated_kill,relative,to_cover_another_crime,blood_feud,public_servant,monstrous,destructive,child,sentence_type,sentence_amount,is_fixed_term
24,65+,Female,Turk,Houseowner,False,True,True,False,True,False,False,True,True,True,True,Middle School,Single,Employed,1,2,0,0,99.62,['discretionary_mitigation'],['relative'],False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,Life Imprisonment,0,False
25,25-34,Male,Other,Houseowner,True,False,True,False,True,False,False,True,False,True,True,High School,Single,Employed,2,0,0,0,100.0,['discretionary_mitigation'],['relative'],False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,Life Imprisonment,0,False
26,25-34,Female,Turk,Rent,False,False,True,False,False,False,False,False,True,True,True,Primary School,Single,Employed,2,0,0,0,100.0,['discretionary_mitigation'],['tradition'],False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,Life Imprisonment,0,False
27,45-54,Female,Turk,Houseowner,True,False,True,False,False,False,False,True,True,False,True,Literate without schooling,Single,Retired,2,1,0,0,100.0,['discretionary_mitigation'],[],False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Life Imprisonment,0,False
28,65+,Female,Turk,Houseowner,False,False,True,True,True,False,True,False,True,False,True,Middle School,Married,Employed,0,0,0,0,92.36,['discretionary_mitigation'],['monstrous'],False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,Life Imprisonment,0,False
29,45-54,Male,Turk,Rent,False,False,False,False,True,False,True,True,True,True,False,High School,Single,Retired,1,0,0,0,100.0,['discretionary_mitigation'],['monstrous'],False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,Life Imprisonment,0,False
30,18-24,Female,Other,Houseowner,False,False,True,False,True,False,False,True,False,True,True,Primary School,Married,Employed,0,0,0,0,100.0,"['mental_disorder_partially', 'unjust_provocation_moderate']",['blood_feud'],True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,Fixed Term,205,True
31,35-44,Male,Turk,Rent,False,False,False,False,False,False,True,True,False,True,True,High School,Single,Retired,1,1,0,0,100.0,['discretionary_mitigation'],[],False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Life Imprisonment,0,False
32,35-44,Female,Other,Houseowner,True,True,False,False,False,False,True,True,True,True,True,Middle School,Single,Unemployed,0,1,0,0,100.0,[],['monstrous'],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Aggravated Life Imprisonment,0,False
33,35-44,Male,Turk,Houseowner,True,True,True,False,False,False,False,False,False,True,True,Middle School,Single,Student,0,0,0,0,100.0,['discretionary_mitigation'],['tradition'],False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,Life Imprisonment,0,False
34,35-44,Male,Turk,Houseowner,False,False,True,False,True,False,False,True,True,True,True,High School,Single,Unemployed,1,0,0,0,100.0,"['mental_disorder_partially', 'discretionary_mitigation']",['premeditated_kill'],True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,Fixed Term,259,True
35,35-44,Male,Turk,Houseowner,False,False,False,False,False,False,True,True,False,True,True,Middle School,Married,Employed,0,2,0,0,99.62,['discretionary_mitigation'],['monstrous'],False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,Life Imprisonment,0,False
36,55-64,Female,Other,Rent,True,False,False,False,False,False,False,False,False,True,True,High School,Single,Employed,4,1,0,0,97.43,['discretionary_mitigation'],['monstrous'],False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,Life Imprisonment,0,False
37,35-44,Male,Turk,Rent,True,False,False,False,True,False,False,True,True,True,True,Middle School,Married,Retired,4,1,0,0,100.0,['discretionary_mitigation'],['relative'],False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,Life Imprisonment,0,False
38,35-44,Male,Other,Rent,True,False,True,True,False,False,True,True,False,True,True,High School,Married,Retired,0,1,0,0,100.0,[],['relative'],False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,Aggravated Life Imprisonment,0,False
39,45-54,Female,Turk,Houseowner,True,True,False,False,False,False,True,True,False,True,True,High School,Single,Employed,4,0,0,0,99.62,['discretionary_mitigation'],['premeditated_kill'],False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,Life Imprisonment,0,False
40,45-54,Male,Turk,Houseowner,False,False,False,True,False,False,True,True,False,True,True,Bachelor’s Degree,Married,Student,2,0,0,0,100.0,['discretionary_mitigation'],['blood_feud'],False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,Life Imprisonment,0,False
41,45-54,Female,Turk,Rent,True,False,False,False,True,False,False,True,True,False,True,Primary School,Married,Employed,3,1,0,0,99.62,"['mental_disorder_partially', 'discretionary_mitigation']",[],True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Fixed Term,255,True
42,45-54,Female,Turk,Rent,True,True,True,False,True,False,True,True,True,True,True,Middle School,Single,Employed,2,0,0,0,100.0,['discretionary_mitigation'],[],False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Life Imprisonment,0,False
43,45-54,Female,Other,Rent,False,False,True,False,False,False,False,True,True,True,True,Middle School,Married,Unemployed,3,0,0,0,100.0,['discretionary_mitigation'],['tradition'],False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,Life Imprisonment,0,False
44,25-34,Male,Turk,Houseowner,False,False,False,False,True,False,False,True,True,True,False,High School,Single,Employed,1,1,0,0,100.0,"['mental_disorder_partially', 'discretionary_mitigation']",['premeditated_kill'],True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,Fixed Term,252,True
45,25-34,Male,Turk,Houseowner,True,False,True,False,False,False,True,True,True,True,True,Illiterate,Married,Retired,2,0,0,0,100.0,['discretionary_mitigation'],[],False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Life Imprisonment,0,False
46,25-34,Male,Turk,Houseowner,False,False,False,False,True,False,False,False,True,True,True,Primary School,Married,Retired,3,0,0,0,100.0,[],['to_cover_another_crime'],False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,Aggravated Life Imprisonment,0,False
47,55-64,Female,Other,Houseowner,True,True,False,False,False,False,False,False,False,True,False,High School,Divorced,Employed,1,1,0,0,99.62,['discretionary_mitigation'],[],False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Life Imprisonment,0,False
48,65+,Male,Turk,Rent,True,False,True,False,True,False,False,False,True,True,False,Primary School,Married,Retired,0,2,0,0,91.43,"['unjust_provocation_mild', 'discretionary_mitigation']",['femicide'],False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,Fixed Term,213,True
49,25-34,Male,Turk,Rent,False,False,False,False,False,False,False,True,True,False,True,High School,Single,Retired,2,1,0,0,100.0,[],['femicide'],False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,Aggravated Life Imprisonment,0,False
50,65+,Female,Turk,Houseowner,False,True,True,False,False,False,False,False,False,True,True,Middle School,Single,Employed,2,1,0,0,97.27,['discretionary_mitigation'],[],False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Life Imprisonment,0,False
51,25-34,Male,Turk,Houseowner,True,False,False,True,False,False,False,True,True,True,False,High School,Married,Employed,1,2,0,0,100.0,['discretionary_mitigation'],[],False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Life Imprisonment,0,False
52,35-44,Male,Other,Houseowner,True,False,True,False,False,False,False,True,True,False,False,Middle School,Married,Retired,2,0,0,0,100.0,['discretionary_mitigation'],['premeditated_kill'],False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,Life Imprisonment,0,False
53,25-34,Male,Turk,Rent,True,True,False,False,False,False,False,True,True,True,False,Primary School,Married,Employed,1,1,0,0,99.62,['discretionary_mitigation'],[],False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Life Imprisonment,0,False
54,35-44,Male,Other,Houseowner,False,True,False,False,True,False,False,False,True,True,True,Primary School,Single,Employed,1,0,0,0,100.0,['discretionary_mitigation'],[],False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Life Imprisonment,0,False
55,25-34,Male,Other,Houseowner,False,False,False,False,False,False,True,True,False,True,True,Middle School,Single,Retired,1,1,0,0,100.0,['discretionary_mitigation'],['femicide'],False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,Life Imprisonment,0,False
56,35-44,Female,Turk,Houseowner,True,True,False,False,False,False,False,False,True,True,False,Bachelor’s Degree,Single,Student,0,2,0,0,91.03,['discretionary_mitigation'],[],False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Life Imprisonment,0,False
57,45-54,Male,Turk,Rent,True,True,False,True,False,False,False,True,False,True,True,Primary School,Single,Employed,1,1,0,0,100.0,['discretionary_mitigation'],['premeditated_kill'],False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,Life Imprisonment,0,False
58,35-44,Female,Turk,Rent,False,False,False,True,True,False,False,False,False,True,True,Middle School,Married,Student,1,0,0,0,100.0,"['mental_disorder_partially', 'discretionary_mitigation']",['premeditated_kill'],True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,Fixed Term,263,True
59,25-34,Female,Other,Houseowner,False,True,False,False,True,False,False,True,True,False,True,Middle School,Married,Employed,2,0,0,0,100.0,"['mental_disorder_partially', 'discretionary_mitigation']",[],True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Fixed Term,259,True
60,18-24,Female,Turk,Rent,True,False,False,True,True,False,False,False,True,True,True,Primary School,Single,Employed,1,0,0,0,100.0,[],[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Aggravated Life Imprisonment,0,False
61,35-44,Male,Turk,Rent,True,False,False,False,False,False,False,True,True,True,True,Literate without schooling,Married,Unemployed,2,1,0,0,100.0,['discretionary_mitigation'],['child'],False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,Life Imprisonment,0,False
62,35-44,Male,Turk,Houseowner,True,True,False,False,False,False,False,False,True,True,False,Primary School,Single,Retired,2,0,0,0,100.0,"['unjust_provocation_moderate', 'discretionary_mitigation']",[],False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Fixed Term,202,True
63,25-34,Male,Turk,Rent,False,False,False,False,True,False,False,True,False,True,True,Primary School,Married,Employed,0,2,0,0,100.0,"['unjust_provocation_moderate', 'discretionary_mitigation']",[],False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Fixed Term,210,True
64,35-44,Female,Turk,Houseowner,True,True,False,True,False,False,True,True,False,True,True,Primary School,Single,Employed,2,0,0,0,100.0,['discretionary_mitigation'],[],False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Life Imprisonment,0,False
65,65+,Male,Turk,Houseowner,False,False,True,True,True,False,False,True,True,True,True,High School,Married,Student,1,2,0,0,99.62,[],['premeditated_kill'],False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,Aggravated Life Imprisonment,0,False
66,45-54,Male,Turk,Houseowner,False,True,False,False,False,False,False,False,False,True,True,Primary School,Married,Retired,0,2,0,0,100.0,['discretionary_mitigation'],['premeditated_kill'],False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,Life Imprisonment,0,False
67,35-44,Male,Turk,Rent,True,False,False,False,True,False,True,False,True,True,True,Middle School,Single,Employed,1,1,0,0,100.0,['discretionary_mitigation'],['blood_feud'],False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,Life Imprisonment,0,False
68,25-34,Male,Turk,Rent,False,True,False,False,False,False,False,True,False,False,True,High School,Single,Employed,1,0,0,0,99.62,['discretionary_mitigation'],['tradition'],False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,Life Imprisonment,0,False
69,35-44,Male,Other,Houseowner,False,False,False,True,False,False,False,True,True,True,True,High School,Single,Retired,2,2,0,0,100.0,['discretionary_mitigation'],['premeditated_kill'],False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,Life Imprisonment,0,False
70,25-34,Male,Turk,Rent,True,False,False,True,True,False,False,False,True,False,True,Middle School,Single,Retired,1,0,0,0,100.0,['discretionary_mitigation'],['premeditated_kill'],False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,Life Imprisonment,0,False
71,25-34,Female,Turk,Houseowner,True,False,False,False,False,False,False,True,False,True,True,High School,Divorced,Employed,2,3,0,0,100.0,['discretionary_mitigation'],[],False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Life Imprisonment,0,False
72,18-24,Male,Turk,Houseowner,True,True,False,False,False,False,True,True,True,True,True,High School,Married,Employed,1,1,0,0,99.62,['discretionary_mitigation'],['femicide'],False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,Life Imprisonment,0,False
73,35-44,Male,Turk,Houseowner,False,False,False,True,False,False,True,True,True,True,True,Middle School,Single,Employed,3,0,0,0,100.0,[],['femicide'],False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,Aggravated Life Imprisonment,0,False
74,65+,Male,Turk,Houseowner,False,False,False,False,False,False,False,False,False,True,True,Middle School,Single,Unemployed,2,1,0,0,100.0,['discretionary_mitigation'],['relative'],False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,Life Imprisonment,0,False
75,35-44,Male,Other,Houseowner,False,False,False,False,False,False,False,True,True,True,True,Primary School,Single,Student,4,0,0,0,100.0,['discretionary_mitigation'],['femicide'],False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,Life Imprisonment,0,False
76,25-34,Male,Turk,Rent,False,False,True,False,True,False,False,True,True,True,False,Primary School,Married,Student,0,0,0,0,100.0,"['mental_disorder_partially', 'discretionary_mitigation']",['blood_feud'],True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,Fixed Term,250,True
77,35-44,Female,Other,Rent,True,False,True,False,False,False,False,False,True,True,False,Primary School,Single,Retired,0,2,0,0,94.1,['discretionary_mitigation'],[],False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Life Imprisonment,0,False
78,25-34,Female,Turk,Rent,True,False,True,False,False,False,False,True,False,True,True,Primary School,Single,Retired,2,2,0,0,100.0,['discretionary_mitigation'],[],False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Life Imprisonment,0,False
79,25-34,Male,Turk,Rent,True,False,False,False,False,False,True,True,False,True,True,Primary School,Single,Retired,2,1,0,0,100.0,['discretionary_mitigation'],[],False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Life Imprisonment,0,False
80,35-44,Male,Other,Houseowner,True,False,False,True,True,False,False,True,True,True,True,Middle School,Single,Employed,3,1,0,0,100.0,"['unjust_provocation_mild', 'discretionary_mitigation']",['femicide'],False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,Fixed Term,191,True
81,35-44,Male,Turk,Rent,True,False,True,True,False,False,False,False,True,True,True,Primary School,Single,Student,0,1,0,0,99.09,['discretionary_mitigation'],[],False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Life Imprisonment,0,False
82,25-34,Male,Turk,Rent,False,False,False,False,True,False,False,True,True,True,True,High School,Married,Employed,5,0,0,0,99.62,[],['femicide'],False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,Aggravated Life Imprisonment,0,False
83,45-54,Female,Turk,Rent,True,False,True,True,False,False,True,False,True,True,False,High School,Single,Employed,0,1,0,0,95.08,['discretionary_mitigation'],[],False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Life Imprisonment,0,False
84,35-44,Female,Turk,Houseowner,True,False,True,False,False,False,False,True,True,True,False,Middle School,Married,Unemployed,2,1,0,0,100.0,['discretionary_mitigation'],['child'],False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,Life Imprisonment,0,False
85,45-54,Female,Other,Houseowner,False,False,False,False,True,False,False,False,False,True,True,Primary School,Single,Retired,1,2,0,0,100.0,"['mental_disorder_partially', 'discretionary_mitigation']",['relative'],True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,Fixed Term,266,True
86,25-34,Male,Turk,Houseowner,False,False,False,True,True,False,False,True,False,True,True,Middle School,Single,Retired,0,2,0,0,100.0,['discretionary_mitigation'],['blood_feud'],False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,Life Imprisonment,0,False
87,35-44,Female,Turk,Houseowner,False,True,False,False,False,False,False,False,True,True,True,Middle School,Single,Retired,2,2,0,0,100.0,['discretionary_mitigation'],[],False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Life Imprisonment,0,False
88,45-54,Male,Turk,Houseowner,False,False,False,True,False,False,True,True,False,True,True,High School,Single,Retired,2,1,0,0,100.0,['discretionary_mitigation'],['monstrous'],False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,Life Imprisonment,0,False
89,35-44,Male,Turk,Houseowner,False,True,False,False,False,False,False,True,True,True,False,High School,Married,Retired,4,0,0,0,100.0,['discretionary_mitigation'],[],False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Life Imprisonment,0,False
90,18-24,Male,Turk,Houseowner,False,False,False,True,False,False,False,True,False,True,True,Primary School,Married,Retired,2,0,0,0,100.0,['discretionary_mitigation'],[],False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Life Imprisonment,0,False
91,25-34,Male,Turk,Rent,True,False,False,False,True,False,False,True,False,True,True,Bachelor’s Degree,Single,Retired,4,1,0,0,98.71,"['mental_disorder_partially', 'discretionary_mitigation']",['monstrous'],True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,Fixed Term,251,True
92,25-34,Male,Turk,Houseowner,True,False,True,False,True,False,False,True,False,True,True,Primary School,Single,Retired,2,1,0,0,100.0,['discretionary_mitigation'],[],False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Life Imprisonment,0,False
93,65+,Female,Turk,Rent,False,False,False,True,False,False,True,False,False,True,True,Primary School,Single,Student,2,0,0,0,95.34,[],['monstrous'],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Aggravated Life Imprisonment,0,False
94,25-34,Female,Turk,Houseowner,True,False,False,True,False,False,False,False,False,False,True,Literate without schooling,Married,Employed,2,0,0,0,99.62,['discretionary_mitigation'],[],False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Life Imprisonment,0,False
95,15-17,Female,Other,Rent,False,False,False,False,False,False,False,True,True,False,True,Primary School,Single,Student,0,0,0,0,100.0,"['age_15-17', 'discretionary_mitigation']",['relative'],False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,Fixed Term,222,True
96,18-24,Male,Turk,Houseowner,False,True,False,False,False,False,False,True,True,True,False,High School,Single,Retired,0,1,0,0,97.27,['discretionary_mitigation'],['femicide'],False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,Life Imprisonment,0,False
97,45-54,Male,Turk,Houseowner,True,False,False,True,False,False,False,False,True,True,False,Illiterate,Married,Employed,2,0,0,0,99.62,"['unjust_provocation_moderate', 'discretionary_mitigation']",['femicide'],False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,Fixed Term,225,True
98,25-34,Female,Turk,Houseowner,True,False,False,False,False,False,True,False,True,True,True,Middle School,Married,Student,3,1,0,0,100.0,[],['to_cover_another_crime'],False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,Aggravated Life Imprisonment,0,False
