age_group,gender,race_ethnicity,housing_status,has_dependents,prior_probation_violation,prior_incarceration,substance_abuse_history,mental_health_issues,gang_affiliation,aggression_history,compliance_history,motivation_to_change,stable_employment_past,positive_social_support,education_level,marital_status,employment_status,prior_convictions,juvenile_convictions,recidivism
55-64,Female,Other,Houseowner,True,True,False,False,False,False,False,False,False,True,False,High School,Divorced,Employed,1,1,0
65+,Male,Turk,Rent,True,False,True,False,True,False,False,False,True,True,False,Primary School,Married,Retired,0,2,0
25-34,Male,Turk,Rent,False,False,False,False,False,False,False,True,True,False,True,High School,Single,Retired,2,1,0
65+,Female,Turk,Houseowner,False,True,True,False,False,False,False,False,False,True,True,Middle School,Single,Employed,2,1,0
25-34,Male,Turk,Houseowner,True,False,False,True,False,False,False,True,True,True,False,High School,Married,Employed,1,2,0
35-44,Male,Other,Houseowner,True,False,True,False,False,False,False,True,True,False,False,Middle School,Married,Retired,2,0,0
25-34,Male,Turk,Rent,True,True,False,False,False,False,False,True,True,True,False,Primary School,Married,Employed,1,1,0
35-44,Male,Other,Houseowner,False,True,False,False,True,False,False,False,True,True,True,Primary School,Single,Employed,1,0,0
25-34,Male,Other,Houseowner,False,False,False,False,False,False,True,True,False,True,True,Middle School,Single,Retired,1,1,0
35-44,Female,Turk,Houseowner,True,True,False,False,False,False,False,False,True,True,False,Bachelor’s Degree,Single,Student,0,2,0
45-54,Male,Turk,Rent,True,True,False,True,False,False,False,True,False,True,True,Primary School,Single,Employed,1,1,0
35-44,Female,Turk,Rent,False,False,False,True,True,False,False,False,False,True,True,Middle School,Married,Student,1,0,0
25-34,Female,Other,Houseowner,False,True,False,False,True,False,False,True,True,False,True,Middle School,Married,Employed,2,0,0
18-24,Female,Turk,Rent,True,False,False,True,True,False,False,False,True,True,True,Primary School,Single,Employed,1,0,0
35-44,Male,Turk,Rent,True,False,False,False,False,False,False,True,True,True,True,Literate without schooling,Married,Unemployed,2,1,0
35-44,Male,Turk,Houseowner,True,True,False,False,False,False,False,False,True,True,False,Primary School,Single,Retired,2,0,0
25-34,Male,Turk,Rent,False,False,False,False,True,False,False,True,False,True,True,Primary School,Married,Employed,0,2,0
35-44,Female,Turk,Houseowner,True,True,False,True,False,False,True,True,False,True,True,Primary School,Single,Employed,2,0,0
65+,Male,Turk,Houseowner,False,False,True,True,True,False,False,True,True,True,True,High School,Married,Student,1,2,0
45-54,Male,Turk,Houseowner,False,True,False,False,False,False,False,False,False,True,True,Primary School,Married,Retired,0,2,0
35-44,Male,Turk,Rent,True,False,False,False,True,False,True,False,True,True,True,Middle School,Single,Employed,1,1,0
25-34,Male,Turk,Rent,False,True,False,False,False,False,False,True,False,False,True,High School,Single,Employed,1,0,0
35-44,Male,Other,Houseowner,False,False,False,True,False,False,False,True,True,True,True,High School,Single,Retired,2,2,0
25-34,Male,Turk,Rent,True,False,False,True,True,False,False,False,True,False,True,Middle School,Single,Retired,1,0,0
25-34,Female,Turk,Houseowner,True,False,False,False,False,False,False,True,False,True,True,High School,Divorced,Employed,2,3,0
18-24,Male,Turk,Houseowner,True,True,False,False,False,False,True,True,True,True,True,High School,Married,Employed,1,1,0
35-44,Male,Turk,Houseowner,False,False,False,True,False,False,True,True,True,True,True,Middle School,Single,Employed,3,0,0
65+,Male,Turk,Houseowner,False,False,False,False,False,False,False,False,False,True,True,Middle School,Single,Unemployed,2,1,0
35-44,Male,Other,Houseowner,False,False,False,False,False,False,False,True,True,True,True,Primary School,Single,Student,4,0,0
25-34,Male,Turk,Rent,False,False,True,False,True,False,False,True,True,True,False,Primary School,Married,Student,0,0,0
35-44,Female,Other,Rent,True,False,True,False,False,False,False,False,True,True,False,Primary School,Single,Retired,0,2,0
25-34,Female,Turk,Rent,True,False,True,False,False,False,False,True,False,True,True,Primary School,Single,Retired,2,2,0
25-34,Male,Turk,Rent,True,False,False,False,False,False,True,True,False,True,True,Primary School,Single,Retired,2,1,0
35-44,Male,Other,Houseowner,True,False,False,True,True,False,False,True,True,True,True,Middle School,Single,Employed,3,1,0
35-44,Male,Turk,Rent,True,False,True,True,False,False,False,False,True,True,True,Primary School,Single,Student,0,1,0
25-34,Male,Turk,Rent,False,False,False,False,True,False,False,True,True,True,True,High School,Married,Employed,5,0,0
45-54,Female,Turk,Rent,True,False,True,True,False,False,True,False,True,True,False,High School,Single,Employed,0,1,0
35-44,Female,Turk,Houseowner,True,False,True,False,False,False,False,True,True,True,False,Middle School,Married,Unemployed,2,1,0
45-54,Female,Other,Houseowner,False,False,False,False,True,False,False,False,False,True,True,Primary School,Single,Retired,1,2,0
25-34,Male,Turk,Houseowner,False,False,False,True,True,False,False,True,False,True,True,Middle School,Single,Retired,0,2,0
35-44,Female,Turk,Houseowner,False,True,False,False,False,False,False,False,True,True,True,Middle School,Single,Retired,2,2,0
45-54,Male,Turk,Houseowner,False,False,False,True,False,False,True,True,False,True,True,High School,Single,Retired,2,1,0
35-44,Male,Turk,Houseowner,False,True,False,False,False,False,False,True,True,True,False,High School,Married,Retired,4,0,0
18-24,Male,Turk,Houseowner,False,False,False,True,False,False,False,True,False,True,True,Primary School,Married,Retired,2,0,0
25-34,Male,Turk,Rent,True,False,False,False,True,False,False,True,False,True,True,Bachelor’s Degree,Single,Retired,4,1,0
25-34,Male,Turk,Houseowner,True,False,True,False,True,False,False,True,False,True,True,Primary School,Single,Retired,2,1,0
65+,Female,Turk,Rent,False,False,False,True,False,False,True,False,False,True,True,Primary School,Single,Student,2,0,0
25-34,Female,Turk,Houseowner,True,False,False,True,False,False,False,False,False,False,True,Literate without schooling,Married,Employed,2,0,0
15-17,Female,Other,Rent,False,False,False,False,False,False,False,True,True,False,True,Primary School,Single,Student,0,0,0
18-24,Male,Turk,Houseowner,False,True,False,False,False,False,False,True,True,True,False,High School,Single,Retired,0,1,0
45-54,Male,Turk,Houseowner,True,False,False,True,False,False,False,False,True,True,False,Illiterate,Married,Employed,2,0,0
25-34,Female,Turk,Houseowner,True,False,False,False,False,False,True,False,True,True,True,Middle School,Married,Student,3,1,0
25-34,Female,Turk,Rent,False,False,False,True,False,False,True,False,True,True,True,Middle School,Single,Employed,1,1,0
25-34,Male,Turk,Houseowner,False,False,False,True,False,False,False,False,True,True,False,Middle School,Married,Retired,1,1,0
45-54,Male,Turk,Houseowner,False,False,False,False,False,False,True,True,False,True,True,Primary School,Married,Retired,3,1,0
45-54,Male,Other,Houseowner,True,False,True,False,False,False,False,True,True,False,True,Middle School,Married,Employed,2,2,0
25-34,Female,Turk,Houseowner,False,False,True,False,False,False,False,False,True,True,True,High School,Divorced,Employed,3,1,0
15-17,Female,Other,Rent,True,False,False,False,False,False,False,False,True,False,True,Primary School,Single,Student,0,0,0
35-44,Male,Turk,Houseowner,True,False,False,False,True,False,False,True,True,True,False,High School,Single,Retired,1,3,0
35-44,Male,Turk,Rent,False,False,True,False,True,False,True,True,False,True,True,Primary School,Married,Retired,0,1,0
45-54,Female,Turk,Rent,True,True,False,False,False,False,True,False,True,False,True,Primary School,Married,Employed,1,1,0
18-24,Male,Other,Rent,True,False,False,True,False,False,False,False,True,True,True,Literate without schooling,Married,Employed,0,1,0
55-64,Male,Other,Houseowner,False,False,False,False,False,False,False,True,False,False,True,Primary School,Single,Employed,1,2,0
65+,Male,Turk,Homeless,False,False,False,False,False,False,False,True,True,True,True,Primary School,Single,Unemployed,2,1,0
25-34,Male,Turk,Houseowner,True,False,False,False,False,False,True,True,False,False,True,Middle School,Married,Student,2,0,0
45-54,Female,Turk,Houseowner,True,False,True,False,True,False,True,False,True,False,True,Primary School,Married,Student,1,0,0
55-64,Female,Other,Rent,True,True,False,False,True,False,True,True,True,True,True,Middle School,Married,Retired,4,1,0
25-34,Female,Turk,Rent,False,False,False,False,False,False,True,True,False,True,True,High School,Single,Employed,3,1,0
45-54,Male,Turk,Houseowner,False,False,True,False,True,False,True,True,True,True,False,High School,Married,Retired,1,1,0
55-64,Female,Turk,Rent,False,True,False,False,False,False,False,False,True,True,True,Middle School,Married,Student,2,2,0
45-54,Male,Turk,Rent,True,False,True,True,True,False,True,True,True,True,False,Middle School,Married,Retired,0,1,0
35-44,Male,Turk,Houseowner,False,False,False,False,True,False,True,False,True,True,True,Literate without schooling,Married,Retired,1,1,0
35-44,Male,Turk,Houseowner,True,False,False,False,True,False,False,True,True,True,True,Middle School,Single,Student,4,1,0
45-54,Male,Turk,Rent,True,False,False,True,False,False,False,False,False,True,True,Primary School,Married,Student,3,0,0
35-44,Female,Turk,Houseowner,True,True,False,True,False,False,True,False,True,True,True,Primary School,Single,Retired,3,0,0
35-44,Male,Turk,Rent,True,False,False,False,False,False,True,True,True,False,False,Bachelor’s Degree,Single,Retired,3,0,0
55-64,Male,Turk,Rent,True,False,False,True,True,False,True,True,True,True,True,Middle School,Married,Employed,2,2,0
35-44,Male,Turk,Houseowner,False,False,True,False,False,False,True,True,True,True,True,Primary School,Married,Employed,1,2,0
45-54,Male,Turk,Rent,False,True,True,False,False,False,True,True,True,True,True,Primary School,Married,Employed,1,1,0
25-34,Male,Turk,Houseowner,True,True,False,True,True,False,False,False,True,False,True,Middle School,Married,Retired,0,1,0
35-44,Female,Turk,Houseowner,True,False,True,False,False,False,True,True,True,False,True,Middle School,Married,Unemployed,1,1,0
35-44,Male,Turk,Rent,True,False,True,False,False,False,False,True,True,False,False,Primary School,Married,Employed,1,1,0
45-54,Female,Other,Houseowner,True,True,False,True,False,False,False,False,False,True,True,Middle School,Married,Employed,3,1,0
45-54,Male,Turk,Rent,False,False,False,True,True,False,False,True,True,True,True,Literate without schooling,Married,Student,0,2,0
25-34,Male,Turk,Rent,False,True,False,False,True,False,False,False,False,True,True,Middle School,Married,Retired,2,0,0
25-34,Female,Turk,Houseowner,True,False,True,False,True,False,True,True,False,True,False,High School,Single,Retired,1,1,0
55-64,Male,Turk,Rent,False,False,True,False,True,False,True,True,True,False,True,Middle School,Married,Retired,1,1,0
45-54,Female,Turk,Houseowner,True,True,False,False,True,False,False,True,True,False,False,Primary School,Single,Retired,3,0,0
25-34,Male,Turk,Rent,True,False,False,False,True,False,True,False,False,True,True,Primary School,Married,Retired,1,1,0
35-44,Male,Other,Houseowner,True,True,False,True,False,False,True,True,False,True,True,Primary School,Single,Retired,2,0,0
65+,Male,Turk,Rent,True,False,False,False,False,False,False,True,False,False,False,Middle School,Single,Retired,2,2,0
35-44,Male,Turk,Rent,True,False,False,False,True,False,False,True,False,True,True,High School,Married,Student,5,0,0
35-44,Male,Turk,Rent,False,False,False,True,False,False,False,True,False,False,True,Bachelor’s Degree,Single,Retired,2,1,0
35-44,Male,Turk,Houseowner,True,True,True,False,True,False,True,True,True,True,True,Primary School,Single,Retired,1,1,0
25-34,Female,Turk,Rent,True,False,True,False,True,False,False,True,False,True,True,Illiterate,Married,Employed,2,1,0
35-44,Female,Turk,Houseowner,False,False,False,True,False,False,False,True,True,False,True,Primary School,Married,Employed,2,2,0
55-64,Female,Turk,Rent,True,False,True,False,True,False,True,True,True,True,False,Primary School,Married,Employed,1,2,0
45-54,Female,Turk,Rent,True,False,False,True,False,False,False,False,True,True,True,High School,Single,Employed,4,2,0
45-54,Male,Turk,Houseowner,False,False,True,False,True,False,False,False,True,False,True,Primary School,Married,Student,1,0,0
35-44,Female,Other,Rent,False,True,False,False,False,False,True,True,True,True,False,High School,Divorced,Retired,1,1,0
25-34,Male,Turk,Houseowner,True,True,False,False,True,False,True,True,False,False,True,Primary School,Married,Retired,1,0,0
25-34,Male,Turk,Rent,True,True,False,False,True,False,True,True,True,True,True,Primary School,Divorced,Retired,1,1,0
55-64,Male,Other,Houseowner,False,False,True,False,False,False,False,False,False,True,True,Primary School,Single,Retired,4,0,0
35-44,Male,Other,Rent,True,False,False,False,True,True,False,True,False,True,True,Literate without schooling,Married,Unemployed,0,0,0
35-44,Female,Turk,Rent,True,True,False,False,False,False,True,True,True,True,False,Literate without schooling,Married,Retired,2,1,0
45-54,Male,Turk,Houseowner,False,False,False,False,False,False,True,False,True,False,False,Middle School,Married,Employed,0,1,0
55-64,Male,Turk,Homeless,False,False,False,False,False,False,False,True,True,True,True,Literate without schooling,Married,Student,4,0,0
45-54,Female,Turk,Rent,True,False,True,True,False,False,True,True,False,True,True,Primary School,Single,Unemployed,0,1,0
25-34,Male,Turk,Rent,False,False,False,False,False,False,False,True,True,True,False,Middle School,Divorced,Employed,1,2,0
25-34,Female,Turk,Houseowner,True,True,False,False,True,False,False,True,False,True,True,Primary School,Married,Employed,1,3,0
35-44,Female,Turk,Rent,True,False,False,True,False,False,False,True,False,False,False,High School,Single,Retired,2,1,0
18-24,Male,Turk,Rent,True,False,False,False,False,False,True,True,False,True,True,High School,Single,Retired,2,1,0
25-34,Male,Other,Houseowner,True,False,True,True,False,False,False,True,True,False,True,Middle School,Married,Retired,1,2,0
25-34,Female,Turk,Homeless,True,True,True,False,True,False,False,True,True,True,False,Middle School,Married,Employed,0,1,0
45-54,Male,Other,Houseowner,True,False,False,False,False,False,True,False,False,True,True,High School,Divorced,Unemployed,2,0,0
45-54,Male,Turk,Rent,True,True,False,False,True,False,False,True,True,True,False,Primary School,Married,Employed,1,2,0
45-54,Male,Other,Houseowner,True,False,False,False,True,False,False,False,True,True,False,Middle School,Single,Retired,3,1,0
35-44,Male,Other,Houseowner,True,False,True,False,True,False,False,False,True,True,True,Primary School,Single,Employed,1,2,0
25-34,Female,Turk,Rent,True,False,False,False,True,False,False,False,False,False,True,Middle School,Married,Retired,4,0,0
45-54,Male,Turk,Rent,False,False,False,True,False,False,False,True,False,False,False,Middle School,Married,Retired,2,0,0
35-44,Male,Turk,Houseowner,True,False,False,True,False,False,True,False,False,True,False,High School,Married,Student,1,0,0
35-44,Female,Turk,Rent,False,True,False,True,False,False,False,True,False,True,True,Middle School,Married,Retired,2,2,0
55-64,Male,Turk,Houseowner,True,False,False,False,True,True,True,True,False,True,True,Literate without schooling,Single,Student,1,0,0
25-34,Male,Turk,Rent,False,False,True,False,False,False,False,False,True,True,False,Middle School,Single,Student,1,0,0
55-64,Female,Turk,Rent,False,False,False,False,False,False,False,True,False,False,False,Middle School,Single,Retired,3,1,0
18-24,Female,Turk,Houseowner,True,True,False,False,False,False,False,False,True,True,True,Primary School,Single,Retired,0,3,0
35-44,Female,Turk,Houseowner,False,True,True,True,True,False,False,True,True,False,True,Bachelor’s Degree,Single,Employed,1,1,0
25-34,Female,Turk,Houseowner,False,False,True,True,False,False,False,True,True,False,True,Middle School,Married,Retired,3,1,0
45-54,Male,Other,Houseowner,True,False,True,True,False,True,False,True,True,True,True,Primary School,Married,Student,1,1,0
35-44,Male,Turk,Houseowner,False,False,True,False,True,False,False,False,False,False,True,Middle School,Single,Employed,1,0,0
12-14,Female,Other,Houseowner,False,True,False,False,False,False,False,True,False,False,True,Primary School,Single,Employed,0,0,0
45-54,Male,Other,Houseowner,True,False,False,True,True,False,True,True,True,False,True,Primary School,Married,Retired,3,0,0
25-34,Male,Turk,Rent,False,False,True,False,True,False,True,True,True,True,True,Middle School,Divorced,Student,1,0,0
35-44,Female,Turk,Houseowner,True,True,False,True,True,False,True,True,False,True,True,High School,Single,Employed,2,1,0
25-34,Male,Turk,Houseowner,True,True,True,True,False,False,False,True,False,True,True,Middle School,Married,Unemployed,0,1,0
55-64,Male,Turk,Houseowner,True,False,True,False,True,False,False,True,True,True,False,Primary School,Single,Employed,2,2,0
35-44,Male,Other,Houseowner,True,False,False,False,False,False,False,True,False,True,False,Literate without schooling,Married,Unemployed,1,1,0
25-34,Male,Turk,Rent,True,True,False,False,False,False,False,True,False,False,True,Primary School,Single,Employed,0,2,0
45-54,Female,Turk,Rent,True,False,True,True,False,False,False,True,True,False,False,Bachelor’s Degree,Single,Retired,3,1,0
35-44,Male,Turk,Houseowner,True,True,False,False,True,False,True,True,True,True,True,High School,Married,Retired,4,1,0
25-34,Male,Turk,Houseowner,False,False,False,True,True,False,False,False,True,True,True,Primary School,Single,Student,2,0,0
55-64,Male,Turk,Rent,True,False,True,True,False,False,False,False,True,True,True,High School,Married,Retired,5,1,0
25-34,Female,Turk,Rent,False,False,False,True,False,False,False,False,True,True,False,High School,Single,Retired,4,0,0
25-34,Male,Other,Houseowner,False,False,False,False,True,False,False,False,True,True,True,Primary School,Married,Employed,3,1,0
45-54,Male,Turk,Rent,False,True,False,True,False,False,False,False,False,True,True,Primary School,Single,Retired,1,1,0
35-44,Male,Turk,Rent,True,False,False,False,False,False,False,True,False,True,False,Primary School,Married,Unemployed,3,0,0
45-54,Male,Turk,Houseowner,True,False,True,False,True,False,True,False,True,False,True,Middle School,Single,Employed,2,0,0
45-54,Female,Turk,Houseowner,True,False,False,True,True,False,True,True,False,True,True,Middle School,Married,Student,3,1,0
25-34,Female,Turk,Houseowner,True,False,True,False,True,False,False,True,True,False,True,Middle School,Married,Student,3,1,0
25-34,Male,Other,Houseowner,True,False,False,False,False,False,True,True,True,True,True,Primary School,Divorced,Student,4,0,0
35-44,Female,Other,Rent,False,True,True,False,False,False,False,False,True,True,False,Primary School,Married,Employed,2,0,0
35-44,Male,Turk,Rent,False,False,True,False,False,False,False,True,True,False,True,Primary School,Single,Unemployed,0,1,0
35-44,Male,Turk,Houseowner,True,True,False,False,True,False,False,False,True,True,True,Primary School,Married,Employed,2,2,0
55-64,Male,Other,Rent,False,False,True,True,False,False,False,True,True,False,False,Middle School,Married,Retired,1,1,0
25-34,Male,Turk,Houseowner,True,True,True,False,True,False,False,True,True,True,False,High School,Married,Retired,1,2,0
25-34,Male,Turk,Houseowner,False,False,True,False,False,False,False,True,False,True,False,Primary School,Married,Retired,2,1,0
45-54,Male,Other,Rent,True,False,False,True,False,False,True,False,False,True,True,Middle School,Single,Retired,2,1,0
65+,Male,Turk,Houseowner,False,True,False,True,False,False,False,False,True,True,True,Primary School,Married,Retired,3,2,0
65+,Male,Turk,Houseowner,True,True,False,True,False,False,True,True,False,True,True,Primary School,Married,Unemployed,3,0,0
25-34,Male,Other,Rent,False,False,True,False,True,False,False,True,False,True,True,Middle School,Single,Retired,2,1,0
15-17,Female,Other,Houseowner,True,False,False,False,False,False,False,True,True,False,True,Primary School,Single,Student,0,2,0
65+,Female,Turk,Rent,True,True,False,False,False,False,True,False,True,False,False,Primary School,Married,Retired,2,1,0
35-44,Male,Turk,Houseowner,False,False,False,False,True,True,False,False,True,True,False,Middle School,Single,Retired,0,1,0
35-44,Male,Turk,Rent,True,False,True,False,True,False,False,True,True,True,False,Primary School,Married,Student,3,0,0
45-54,Female,Turk,Houseowner,False,False,False,True,False,False,True,True,True,True,False,Primary School,Married,Employed,3,1,0
25-34,Female,Turk,Rent,True,False,True,False,False,False,True,True,True,True,True,Primary School,Single,Unemployed,2,1,0
35-44,Male,Other,Houseowner,True,True,False,False,True,False,False,True,False,True,False,Primary School,Divorced,Employed,2,0,0
35-44,Male,Other,Houseowner,True,True,True,False,False,False,False,True,False,True,True,Bachelor’s Degree,Single,Employed,4,1,0
25-34,Female,Turk,Houseowner,True,True,False,True,False,False,True,True,True,True,True,Middle School,Married,Student,3,1,0
45-54,Male,Turk,Houseowner,False,False,False,False,True,False,False,True,False,True,False,Middle School,Married,Retired,5,0,0
25-34,Male,Turk,Houseowner,True,False,True,False,False,False,False,False,False,True,True,Primary School,Single,Employed,3,1,0
45-54,Male,Turk,Houseowner,True,True,False,False,True,False,False,False,False,True,False,High School,Married,Student,1,1,0
45-54,Male,Turk,Houseowner,True,False,False,True,True,False,False,True,False,True,True,Primary School,Married,Student,2,2,0
35-44,Male,Turk,Houseowner,True,False,False,False,False,False,True,False,False,False,True,Middle School,Married,Student,1,1,0
35-44,Female,Turk,Houseowner,False,True,False,False,False,False,False,True,True,False,True,Illiterate,Divorced,Unemployed,1,0,0
45-54,Male,Turk,Houseowner,True,False,True,False,False,False,True,True,False,True,True,Primary School,Married,Retired,0,4,0
55-64,Male,Turk,Houseowner,False,False,False,True,True,False,True,False,True,True,True,High School,Married,Student,2,1,0
35-44,Male,Other,Rent,True,False,False,False,False,False,True,True,False,False,False,High School,Single,Employed,2,0,0
15-17,Female,Other,Houseowner,True,False,False,True,False,False,False,False,True,False,True,Literate without schooling,Single,Student,0,0,0
45-54,Male,Turk,Rent,False,True,False,True,False,False,False,True,False,True,True,Middle School,Married,Unemployed,1,1,0
25-34,Male,Turk,Rent,False,True,False,False,False,False,True,False,False,True,True,Middle School,Married,Retired,1,1,0
35-44,Female,Turk,Houseowner,True,True,True,False,False,False,False,False,True,True,True,Primary School,Married,Retired,2,3,0
45-54,Male,Turk,Homeless,False,False,False,False,False,False,False,True,True,False,True,Middle School,Married,Retired,2,2,0
55-64,Female,Turk,Houseowner,True,True,True,False,True,False,False,True,False,False,True,Primary School,Single,Student,0,2,0
25-34,Male,Turk,Houseowner,False,False,False,True,False,False,False,True,True,False,False,Primary School,Single,Student,1,0,0
25-34,Male,Turk,Houseowner,True,False,False,True,True,False,True,True,True,True,False,High School,Single,Retired,2,1,0
45-54,Male,Turk,Rent,False,False,True,False,True,False,False,False,False,True,False,Master/PhD,Married,Retired,4,0,0
35-44,Male,Other,Houseowner,True,False,False,False,True,False,False,True,True,False,False,High School,Single,Unemployed,2,0,0
15-17,Female,Turk,Homeless,False,False,True,False,False,False,False,True,True,False,True,Primary School,Single,Employed,0,0,0
12-14,Female,Other,Rent,False,False,False,False,False,False,False,True,True,False,True,Illiterate,Single,Student,0,0,0
25-34,Male,Turk,Rent,False,False,True,False,True,False,False,False,True,False,True,High School,Single,Student,1,0,0
25-34,Male,Turk,Homeless,False,False,False,False,False,False,False,True,True,True,True,High School,Married,Unemployed,1,2,0
35-44,Female,Turk,Homeless,False,False,False,True,False,False,False,True,False,True,True,High School,Married,Retired,4,1,0
45-54,Male,Turk,Houseowner,True,True,False,False,False,False,False,False,False,True,True,High School,Married,Employed,5,1,0
45-54,Female,Turk,Homeless,False,False,False,False,True,False,False,True,False,True,True,Bachelor’s Degree,Married,Employed,2,3,0
65+,Male,Other,Rent,False,False,False,False,False,False,True,True,False,False,True,High School,Married,Employed,1,3,0
35-44,Male,Turk,Houseowner,True,False,False,False,False,False,False,False,True,True,False,Primary School,Divorced,Employed,2,2,0
18-24,Female,Turk,Rent,True,True,True,True,False,False,False,True,True,True,True,Middle School,Married,Employed,1,2,0
18-24,Female,Turk,Houseowner,True,False,True,False,False,False,False,False,True,False,True,Middle School,Single,Employed,2,1,0
