id,age_group,gender,race_ethnicity,housing_status,has_dependents,prior_probation_violation,prior_incarceration,substance_abuse_history,mental_health_issues,gang_affiliation,aggression_history,compliance_history,motivation_to_change,stable_employment_past,positive_social_support,education_level,marital_status,employment_status,prior_convictions,juvenile_convictions,recidivism,recidivism_pred,prediction_probability
20,35-44,Female,Other,Houseowner,False,False,True,False,False,False,False,True,True,False,True,Middle School,Married,Retired,0,2,0,0,100.0
21,25-34,Female,Turk,Rent,True,False,False,False,False,False,False,True,True,False,True,Primary School,Single,Employed,2,1,0,0,100.0
22,45-54,Male,Turk,Rent,True,True,False,False,True,False,False,False,True,True,True,High School,Married,Retired,3,0,0,0,100.0
23,25-34,Female,Turk,Rent,True,False,False,False,False,False,False,False,False,True,False,High School,Single,Student,1,0,0,0,100.0
24,65+,Female,Turk,Houseowner,False,True,True,False,True,False,False,True,True,True,True,Middle School,Single,Employed,1,2,0,0,99.62
25,25-34,Male,Other,Houseowner,True,False,True,False,True,False,False,True,False,True,True,High School,Single,Employed,2,0,0,0,100.0
26,25-34,Female,Turk,Rent,False,False,True,False,False,False,False,False,True,True,True,Primary School,Single,Employed,2,0,0,0,100.0
27,45-54,Female,Turk,Houseowner,True,False,True,False,False,False,False,True,True,False,True,Literate without schooling,Single,Retired,2,1,0,0,100.0
28,65+,Female,Turk,Houseowner,False,False,True,True,True,False,True,False,True,False,True,Middle School,Married,Employed,0,0,0,0,92.36
29,45-54,Male,Turk,Rent,False,False,False,False,True,False,True,True,True,True,False,High School,Single,Retired,1,0,0,0,100.0
30,18-24,Female,Other,Houseowner,False,False,True,False,True,False,False,True,False,True,True,Primary School,Married,Employed,0,0,0,0,100.0
31,35-44,Male,Turk,Rent,False,False,False,False,False,False,True,True,False,True,True,High School,Single,Retired,1,1,0,0,100.0
32,35-44,Female,Other,Houseowner,True,True,False,False,False,False,True,True,True,True,True,Middle School,Single,Unemployed,0,1,0,0,100.0
33,35-44,Male,Turk,Houseowner,True,True,True,False,False,False,False,False,False,True,True,Middle School,Single,Student,0,0,0,0,100.0
34,35-44,Male,Turk,Houseowner,False,False,True,False,True,False,False,True,True,True,True,High School,Single,Unemployed,1,0,0,0,100.0
35,35-44,Male,Turk,Houseowner,False,False,False,False,False,False,True,True,False,True,True,Middle School,Married,Employed,0,2,0,0,99.62
36,55-64,Female,Other,Rent,True,False,False,False,False,False,False,False,False,True,True,High School,Single,Employed,4,1,0,0,97.43
37,35-44,Male,Turk,Rent,True,False,False,False,True,False,False,True,True,True,True,Middle School,Married,Retired,4,1,0,0,100.0
38,35-44,Male,Other,Rent,True,False,True,True,False,False,True,True,False,True,True,High School,Married,Retired,0,1,0,0,100.0
39,45-54,Female,Turk,Houseowner,True,True,False,False,False,False,True,True,False,True,True,High School,Single,Employed,4,0,0,0,99.62
40,45-54,Male,Turk,Houseowner,False,False,False,True,False,False,True,True,False,True,True,Bachelor’s Degree,Married,Student,2,0,0,0,100.0
41,45-54,Female,Turk,Rent,True,False,False,False,True,False,False,True,True,False,True,Primary School,Married,Employed,3,1,0,0,99.62
42,45-54,Female,Turk,Rent,True,True,True,False,True,False,True,True,True,True,True,Middle School,Single,Employed,2,0,0,0,100.0
43,45-54,Female,Other,Rent,False,False,True,False,False,False,False,True,True,True,True,Middle School,Married,Unemployed,3,0,0,0,100.0
44,25-34,Male,Turk,Houseowner,False,False,False,False,True,False,False,True,True,True,False,High School,Single,Employed,1,1,0,0,100.0
45,25-34,Male,Turk,Houseowner,True,False,True,False,False,False,True,True,True,True,True,Illiterate,Married,Retired,2,0,0,0,100.0
46,25-34,Male,Turk,Houseowner,False,False,False,False,True,False,False,False,True,True,True,Primary School,Married,Retired,3,0,0,0,100.0
47,55-64,Female,Other,Houseowner,True,True,False,False,False,False,False,False,False,True,False,High School,Divorced,Employed,1,1,0,0,99.62
48,65+,Male,Turk,Rent,True,False,True,False,True,False,False,False,True,True,False,Primary School,Married,Retired,0,2,0,0,91.43
49,25-34,Male,Turk,Rent,False,False,False,False,False,False,False,True,True,False,True,High School,Single,Retired,2,1,0,0,100.0
50,65+,Female,Turk,Houseowner,False,True,True,False,False,False,False,False,False,True,True,Middle School,Single,Employed,2,1,0,0,97.27
51,25-34,Male,Turk,Houseowner,True,False,False,True,False,False,False,True,True,True,False,High School,Married,Employed,1,2,0,0,100.0
52,35-44,Male,Other,Houseowner,True,False,True,False,False,False,False,True,True,False,False,Middle School,Married,Retired,2,0,0,0,100.0
53,25-34,Male,Turk,Rent,True,True,False,False,False,False,False,True,True,True,False,Primary School,Married,Employed,1,1,0,0,99.62
54,35-44,Male,Other,Houseowner,False,True,False,False,True,False,False,False,True,True,True,Primary School,Single,Employed,1,0,0,0,100.0
55,25-34,Male,Other,Houseowner,False,False,False,False,False,False,True,True,False,True,True,Middle School,Single,Retired,1,1,0,0,100.0
56,35-44,Female,Turk,Houseowner,True,True,False,False,False,False,False,False,True,True,False,Bachelor’s Degree,Single,Student,0,2,0,0,91.03
57,45-54,Male,Turk,Rent,True,True,False,True,False,False,False,True,False,True,True,Primary School,Single,Employed,1,1,0,0,100.0
58,35-44,Female,Turk,Rent,False,False,False,True,True,False,False,False,False,True,True,Middle School,Married,Student,1,0,0,0,100.0
59,25-34,Female,Other,Houseowner,False,True,False,False,True,False,False,True,True,False,True,Middle School,Married,Employed,2,0,0,0,100.0
60,18-24,Female,Turk,Rent,True,False,False,True,True,False,False,False,True,True,True,Primary School,Single,Employed,1,0,0,0,100.0
61,35-44,Male,Turk,Rent,True,False,False,False,False,False,False,True,True,True,True,Literate without schooling,Married,Unemployed,2,1,0,0,100.0
62,35-44,Male,Turk,Houseowner,True,True,False,False,False,False,False,False,True,True,False,Primary School,Single,Retired,2,0,0,0,100.0
63,25-34,Male,Turk,Rent,False,False,False,False,True,False,False,True,False,True,True,Primary School,Married,Employed,0,2,0,0,100.0
64,35-44,Female,Turk,Houseowner,True,True,False,True,False,False,True,True,False,True,True,Primary School,Single,Employed,2,0,0,0,100.0
65,65+,Male,Turk,Houseowner,False,False,True,True,True,False,False,True,True,True,True,High School,Married,Student,1,2,0,0,99.62
66,45-54,Male,Turk,Houseowner,False,True,False,False,False,False,False,False,False,True,True,Primary School,Married,Retired,0,2,0,0,100.0
67,35-44,Male,Turk,Rent,True,False,False,False,True,False,True,False,True,True,True,Middle School,Single,Employed,1,1,0,0,100.0
68,25-34,Male,Turk,Rent,False,True,False,False,False,False,False,True,False,False,True,High School,Single,Employed,1,0,0,0,99.62
69,35-44,Male,Other,Houseowner,False,False,False,True,False,False,False,True,True,True,True,High School,Single,Retired,2,2,0,0,100.0
70,25-34,Male,Turk,Rent,True,False,False,True,True,False,False,False,True,False,True,Middle School,Single,Retired,1,0,0,0,100.0
71,25-34,Female,Turk,Houseowner,True,False,False,False,False,False,False,True,False,True,True,High School,Divorced,Employed,2,3,0,0,100.0
72,18-24,Male,Turk,Houseowner,True,True,False,False,False,False,True,True,True,True,True,High School,Married,Employed,1,1,0,0,99.62
73,35-44,Male,Turk,Houseowner,False,False,False,True,False,False,True,True,True,True,True,Middle School,Single,Employed,3,0,0,0,100.0
74,65+,Male,Turk,Houseowner,False,False,False,False,False,False,False,False,False,True,True,Middle School,Single,Unemployed,2,1,0,0,100.0
75,35-44,Male,Other,Houseowner,False,False,False,False,False,False,False,True,True,True,True,Primary School,Single,Student,4,0,0,0,100.0
76,25-34,Male,Turk,Rent,False,False,True,False,True,False,False,True,True,True,False,Primary School,Married,Student,0,0,0,0,100.0
77,35-44,Female,Other,Rent,True,False,True,False,False,False,False,False,True,True,False,Primary School,Single,Retired,0,2,0,0,94.1
78,25-34,Female,Turk,Rent,True,False,True,False,False,False,False,True,False,True,True,Primary School,Single,Retired,2,2,0,0,100.0
79,25-34,Male,Turk,Rent,True,False,False,False,False,False,True,True,False,True,True,Primary School,Single,Retired,2,1,0,0,100.0
80,35-44,Male,Other,Houseowner,True,False,False,True,True,False,False,True,True,True,True,Middle School,Single,Employed,3,1,0,0,100.0
81,35-44,Male,Turk,Rent,True,False,True,True,False,False,False,False,True,True,True,Primary School,Single,Student,0,1,0,0,99.09
82,25-34,Male,Turk,Rent,False,False,False,False,True,False,False,True,True,True,True,High School,Married,Employed,5,0,0,0,99.62
83,45-54,Female,Turk,Rent,True,False,True,True,False,False,True,False,True,True,False,High School,Single,Employed,0,1,0,0,95.08
84,35-44,Female,Turk,Houseowner,True,False,True,False,False,False,False,True,True,True,False,Middle School,Married,Unemployed,2,1,0,0,100.0
85,45-54,Female,Other,Houseowner,False,False,False,False,True,False,False,False,False,True,True,Primary School,Single,Retired,1,2,0,0,100.0
86,25-34,Male,Turk,Houseowner,False,False,False,True,True,False,False,True,False,True,True,Middle School,Single,Retired,0,2,0,0,100.0
87,35-44,Female,Turk,Houseowner,False,True,False,False,False,False,False,False,True,True,True,Middle School,Single,Retired,2,2,0,0,100.0
88,45-54,Male,Turk,Houseowner,False,False,False,True,False,False,True,True,False,True,True,High School,Single,Retired,2,1,0,0,100.0
89,35-44,Male,Turk,Houseowner,False,True,False,False,False,False,False,True,True,True,False,High School,Married,Retired,4,0,0,0,100.0
90,18-24,Male,Turk,Houseowner,False,False,False,True,False,False,False,True,False,True,True,Primary School,Married,Retired,2,0,0,0,100.0
91,25-34,Male,Turk,Rent,True,False,False,False,True,False,False,True,False,True,True,Bachelor’s Degree,Single,Retired,4,1,0,0,98.71
92,25-34,Male,Turk,Houseowner,True,False,True,False,True,False,False,True,False,True,True,Primary School,Single,Retired,2,1,0,0,100.0
93,65+,Female,Turk,Rent,False,False,False,True,False,False,True,False,False,True,True,Primary School,Single,Student,2,0,0,0,95.34
94,25-34,Female,Turk,Houseowner,True,False,False,True,False,False,False,False,False,False,True,Literate without schooling,Married,Employed,2,0,0,0,99.62
95,15-17,Female,Other,Rent,False,False,False,False,False,False,False,True,True,False,True,Primary School,Single,Student,0,0,0,0,100.0
96,18-24,Male,Turk,Houseowner,False,True,False,False,False,False,False,True,True,True,False,High School,Single,Retired,0,1,0,0,97.27
97,45-54,Male,Turk,Houseowner,True,False,False,True,False,False,False,False,True,True,False,Illiterate,Married,Employed,2,0,0,0,99.62
98,25-34,Female,Turk,Houseowner,True,False,False,False,False,False,True,False,True,True,True,Middle School,Married,Student,3,1,0,0,100.0
99,25-34,Female,Turk,Rent,False,False,False,True,False,False,True,False,True,True,True,Middle School,Single,Employed,1,1,0,0,100.0
100,25-34,Male,Turk,Houseowner,False,False,False,True,False,False,False,False,True,True,False,Middle School,Married,Retired,1,1,0,0,100.0
101,45-54,Male,Turk,Houseowner,False,False,False,False,False,False,True,True,False,True,True,Primary School,Married,Retired,3,1,0,0,100.0
102,45-54,Male,Other,Houseowner,True,False,True,False,False,False,False,True,True,False,True,Middle School,Married,Employed,2,2,0,0,100.0
103,25-34,Female,Turk,Houseowner,False,False,True,False,False,False,False,False,True,True,True,High School,Divorced,Employed,3,1,0,0,100.0
104,15-17,Female,Other,Rent,True,False,False,False,False,False,False,False,True,False,True,Primary School,Single,Student,0,0,0,0,100.0
105,35-44,Male,Turk,Houseowner,True,False,False,False,True,False,False,True,True,True,False,High School,Single,Retired,1,3,0,0,99.62
106,35-44,Male,Turk,Rent,False,False,True,False,True,False,True,True,False,True,True,Primary School,Married,Retired,0,1,0,0,100.0
107,45-54,Female,Turk,Rent,True,True,False,False,False,False,True,False,True,False,True,Primary School,Married,Employed,1,1,0,0,99.21
108,18-24,Male,Other,Rent,True,False,False,True,False,False,False,False,True,True,True,Literate without schooling,Married,Employed,0,1,0,0,97.32
109,55-64,Male,Other,Houseowner,False,False,False,False,False,False,False,True,False,False,True,Primary School,Single,Employed,1,2,0,0,96.44
110,65+,Male,Turk,Homeless,False,False,False,False,False,False,False,True,True,True,True,Primary School,Single,Unemployed,2,1,0,0,100.0
111,25-34,Male,Turk,Houseowner,True,False,False,False,False,False,True,True,False,False,True,Middle School,Married,Student,2,0,0,0,99.62
112,45-54,Female,Turk,Houseowner,True,False,True,False,True,False,True,False,True,False,True,Primary School,Married,Student,1,0,0,0,100.0
113,55-64,Female,Other,Rent,True,True,False,False,True,False,True,True,True,True,True,Middle School,Married,Retired,4,1,0,0,94.66
114,25-34,Female,Turk,Rent,False,False,False,False,False,False,True,True,False,True,True,High School,Single,Employed,3,1,0,0,97.88
115,45-54,Male,Turk,Houseowner,False,False,True,False,True,False,True,True,True,True,False,High School,Married,Retired,1,1,0,0,100.0
116,55-64,Female,Turk,Rent,False,True,False,False,False,False,False,False,True,True,True,Middle School,Married,Student,2,2,0,0,97.53
117,45-54,Male,Turk,Rent,True,False,True,True,True,False,True,True,True,True,False,Middle School,Married,Retired,0,1,0,0,97.47
118,35-44,Male,Turk,Houseowner,False,False,False,False,True,False,True,False,True,True,True,Literate without schooling,Married,Retired,1,1,0,0,100.0
119,35-44,Male,Turk,Houseowner,True,False,False,False,True,False,False,True,True,True,True,Middle School,Single,Student,4,1,0,0,100.0
120,45-54,Male,Turk,Rent,True,False,False,True,False,False,False,False,False,True,True,Primary School,Married,Student,3,0,0,0,99.62
121,35-44,Female,Turk,Houseowner,True,True,False,True,False,False,True,False,True,True,True,Primary School,Single,Retired,3,0,0,0,100.0
122,35-44,Male,Turk,Rent,True,False,False,False,False,False,True,True,True,False,False,Bachelor’s Degree,Single,Retired,3,0,0,0,90.59
123,55-64,Male,Turk,Rent,True,False,False,True,True,False,True,True,True,True,True,Middle School,Married,Employed,2,2,0,0,94.69
124,35-44,Male,Turk,Houseowner,False,False,True,False,False,False,True,True,True,True,True,Primary School,Married,Employed,1,2,0,0,99.62
125,45-54,Male,Turk,Rent,False,True,True,False,False,False,True,True,True,True,True,Primary School,Married,Employed,1,1,0,0,99.62
126,25-34,Male,Turk,Houseowner,True,True,False,True,True,False,False,False,True,False,True,Middle School,Married,Retired,0,1,0,0,96.91
127,35-44,Female,Turk,Houseowner,True,False,True,False,False,False,True,True,True,False,True,Middle School,Married,Unemployed,1,1,0,0,100.0
128,35-44,Male,Turk,Rent,True,False,True,False,False,False,False,True,True,False,False,Primary School,Married,Employed,1,1,0,0,98.3
129,45-54,Female,Other,Houseowner,True,True,False,True,False,False,False,False,False,True,True,Middle School,Married,Employed,3,1,0,0,99.62
130,45-54,Male,Turk,Rent,False,False,False,True,True,False,False,True,True,True,True,Literate without schooling,Married,Student,0,2,0,0,98.3
131,25-34,Male,Turk,Rent,False,True,False,False,True,False,False,False,False,True,True,Middle School,Married,Retired,2,0,0,0,100.0
132,25-34,Female,Turk,Houseowner,True,False,True,False,True,False,True,True,False,True,False,High School,Single,Retired,1,1,0,0,100.0
133,55-64,Male,Turk,Rent,False,False,True,False,True,False,True,True,True,False,True,Middle School,Married,Retired,1,1,0,0,99.18
134,45-54,Female,Turk,Houseowner,True,True,False,False,True,False,False,True,True,False,False,Primary School,Single,Retired,3,0,0,0,97.12
135,25-34,Male,Turk,Rent,True,False,False,False,True,False,True,False,False,True,True,Primary School,Married,Retired,1,1,0,0,100.0
136,35-44,Male,Other,Houseowner,True,True,False,True,False,False,True,True,False,True,True,Primary School,Single,Retired,2,0,0,0,100.0
137,65+,Male,Turk,Rent,True,False,False,False,False,False,False,True,False,False,False,Middle School,Single,Retired,2,2,0,0,79.2
138,35-44,Male,Turk,Rent,True,False,False,False,True,False,False,True,False,True,True,High School,Married,Student,5,0,0,0,98.38
139,35-44,Male,Turk,Rent,False,False,False,True,False,False,False,True,False,False,True,Bachelor’s Degree,Single,Retired,2,1,0,0,94.41
140,35-44,Male,Turk,Houseowner,True,True,True,False,True,False,True,True,True,True,True,Primary School,Single,Retired,1,1,0,0,100.0
141,25-34,Female,Turk,Rent,True,False,True,False,True,False,False,True,False,True,True,Illiterate,Married,Employed,2,1,0,0,100.0
142,35-44,Female,Turk,Houseowner,False,False,False,True,False,False,False,True,True,False,True,Primary School,Married,Employed,2,2,0,0,97.76
143,55-64,Female,Turk,Rent,True,False,True,False,True,False,True,True,True,True,False,Primary School,Married,Employed,1,2,0,0,97.36
144,45-54,Female,Turk,Rent,True,False,False,True,False,False,False,False,True,True,True,High School,Single,Employed,4,2,0,0,84.13
145,45-54,Male,Turk,Houseowner,False,False,True,False,True,False,False,False,True,False,True,Primary School,Married,Student,1,0,0,0,99.62
146,35-44,Female,Other,Rent,False,True,False,False,False,False,True,True,True,True,False,High School,Divorced,Retired,1,1,0,0,94.56
147,25-34,Male,Turk,Houseowner,True,True,False,False,True,False,True,True,False,False,True,Primary School,Married,Retired,1,0,0,0,99.62
148,25-34,Male,Turk,Rent,True,True,False,False,True,False,True,True,True,True,True,Primary School,Divorced,Retired,1,1,0,0,100.0
149,55-64,Male,Other,Houseowner,False,False,True,False,False,False,False,False,False,True,True,Primary School,Single,Retired,4,0,0,0,91.58
150,35-44,Male,Other,Rent,True,False,False,False,True,True,False,True,False,True,True,Literate without schooling,Married,Unemployed,0,0,0,0,100.0
151,35-44,Female,Turk,Rent,True,True,False,False,False,False,True,True,True,True,False,Literate without schooling,Married,Retired,2,1,0,0,91.72
152,45-54,Male,Turk,Houseowner,False,False,False,False,False,False,True,False,True,False,False,Middle School,Married,Employed,0,1,0,0,78.05
153,55-64,Male,Turk,Homeless,False,False,False,False,False,False,False,True,True,True,True,Literate without schooling,Married,Student,4,0,0,0,100.0
154,45-54,Female,Turk,Rent,True,False,True,True,False,False,True,True,False,True,True,Primary School,Single,Unemployed,0,1,0,0,100.0
155,25-34,Male,Turk,Rent,False,False,False,False,False,False,False,True,True,True,False,Middle School,Divorced,Employed,1,2,0,0,95.01
156,25-34,Female,Turk,Houseowner,True,True,False,False,True,False,False,True,False,True,True,Primary School,Married,Employed,1,3,0,0,99.62
157,35-44,Female,Turk,Rent,True,False,False,True,False,False,False,True,False,False,False,High School,Single,Retired,2,1,0,0,84.63
158,18-24,Male,Turk,Rent,True,False,False,False,False,False,True,True,False,True,True,High School,Single,Retired,2,1,0,0,99.62
159,25-34,Male,Other,Houseowner,True,False,True,True,False,False,False,True,True,False,True,Middle School,Married,Retired,1,2,0,0,97.96
160,25-34,Female,Turk,Homeless,True,True,True,False,True,False,False,True,True,True,False,Middle School,Married,Employed,0,1,0,0,99.62
161,45-54,Male,Other,Houseowner,True,False,False,False,False,False,True,False,False,True,True,High School,Divorced,Unemployed,2,0,0,0,99.62
162,45-54,Male,Turk,Rent,True,True,False,False,True,False,False,True,True,True,False,Primary School,Married,Employed,1,2,0,0,98.38
163,45-54,Male,Other,Houseowner,True,False,False,False,True,False,False,False,True,True,False,Middle School,Single,Retired,3,1,0,0,93.95
164,35-44,Male,Other,Houseowner,True,False,True,False,True,False,False,False,True,True,True,Primary School,Single,Employed,1,2,0,0,100.0
165,25-34,Female,Turk,Rent,True,False,False,False,True,False,False,False,False,False,True,Middle School,Married,Retired,4,0,0,0,95.8
166,45-54,Male,Turk,Rent,False,False,False,True,False,False,False,True,False,False,False,Middle School,Married,Retired,2,0,0,0,90.52
167,35-44,Male,Turk,Houseowner,True,False,False,True,False,False,True,False,False,True,False,High School,Married,Student,1,0,0,0,99.62
168,35-44,Female,Turk,Rent,False,True,False,True,False,False,False,True,False,True,True,Middle School,Married,Retired,2,2,0,0,96.85
169,55-64,Male,Turk,Houseowner,True,False,False,False,True,True,True,True,False,True,True,Literate without schooling,Single,Student,1,0,0,0,99.62
170,25-34,Male,Turk,Rent,False,False,True,False,False,False,False,False,True,True,False,Middle School,Single,Student,1,0,0,0,95.21
171,55-64,Female,Turk,Rent,False,False,False,False,False,False,False,True,False,False,False,Middle School,Single,Retired,3,1,0,0,74.01
172,18-24,Female,Turk,Houseowner,True,True,False,False,False,False,False,False,True,True,True,Primary School,Single,Retired,0,3,0,0,97.88
173,35-44,Female,Turk,Houseowner,False,True,True,True,True,False,False,True,True,False,True,Bachelor’s Degree,Single,Employed,1,1,0,0,89.38
174,25-34,Female,Turk,Houseowner,False,False,True,True,False,False,False,True,True,False,True,Middle School,Married,Retired,3,1,0,0,99.62
175,45-54,Male,Other,Houseowner,True,False,True,True,False,True,False,True,True,True,True,Primary School,Married,Student,1,1,0,0,100.0
176,35-44,Male,Turk,Houseowner,False,False,True,False,True,False,False,False,False,False,True,Middle School,Single,Employed,1,0,0,0,96.44
177,12-14,Female,Other,Houseowner,False,True,False,False,False,False,False,True,False,False,True,Primary School,Single,Employed,0,0,0,0,99.62
178,45-54,Male,Other,Houseowner,True,False,False,True,True,False,True,True,True,False,True,Primary School,Married,Retired,3,0,0,0,99.62
179,25-34,Male,Turk,Rent,False,False,True,False,True,False,True,True,True,True,True,Middle School,Divorced,Student,1,0,0,0,99.62
180,35-44,Female,Turk,Houseowner,True,True,False,True,True,False,True,True,False,True,True,High School,Single,Employed,2,1,0,0,98.71
181,25-34,Male,Turk,Houseowner,True,True,True,True,False,False,False,True,False,True,True,Middle School,Married,Unemployed,0,1,0,0,100.0
182,55-64,Male,Turk,Houseowner,True,False,True,False,True,False,False,True,True,True,False,Primary School,Single,Employed,2,2,0,0,93.22
183,35-44,Male,Other,Houseowner,True,False,False,False,False,False,False,True,False,True,False,Literate without schooling,Married,Unemployed,1,1,0,0,100.0
184,25-34,Male,Turk,Rent,True,True,False,False,False,False,False,True,False,False,True,Primary School,Single,Employed,0,2,0,0,91.66
185,45-54,Female,Turk,Rent,True,False,True,True,False,False,False,True,True,False,False,Bachelor’s Degree,Single,Retired,3,1,0,0,65.13
186,35-44,Male,Turk,Houseowner,True,True,False,False,True,False,True,True,True,True,True,High School,Married,Retired,4,1,0,0,94.62
187,25-34,Male,Turk,Houseowner,False,False,False,True,True,False,False,False,True,True,True,Primary School,Single,Student,2,0,0,0,99.62
188,55-64,Male,Turk,Rent,True,False,True,True,False,False,False,False,True,True,True,High School,Married,Retired,5,1,0,0,83.42
189,25-34,Female,Turk,Rent,False,False,False,True,False,False,False,False,True,True,False,High School,Single,Retired,4,0,0,0,91.27
190,25-34,Male,Other,Houseowner,False,False,False,False,True,False,False,False,True,True,True,Primary School,Married,Employed,3,1,0,0,100.0
191,45-54,Male,Turk,Rent,False,True,False,True,False,False,False,False,False,True,True,Primary School,Single,Retired,1,1,0,0,98.71
192,35-44,Male,Turk,Rent,True,False,False,False,False,False,False,True,False,True,False,Primary School,Married,Unemployed,3,0,0,0,100.0
193,45-54,Male,Turk,Houseowner,True,False,True,False,True,False,True,False,True,False,True,Middle School,Single,Employed,2,0,0,0,99.62
194,45-54,Female,Turk,Houseowner,True,False,False,True,True,False,True,True,False,True,True,Middle School,Married,Student,3,1,0,0,97.47
195,25-34,Female,Turk,Houseowner,True,False,True,False,True,False,False,True,True,False,True,Middle School,Married,Student,3,1,0,0,99.62
196,25-34,Male,Other,Houseowner,True,False,False,False,False,False,True,True,True,True,True,Primary School,Divorced,Student,4,0,0,0,100.0
197,35-44,Female,Other,Rent,False,True,True,False,False,False,False,False,True,True,False,Primary School,Married,Employed,2,0,0,0,94.42
198,35-44,Male,Turk,Rent,False,False,True,False,False,False,False,True,True,False,True,Primary School,Single,Unemployed,0,1,0,0,98.71
199,35-44,Male,Turk,Houseowner,True,True,False,False,True,False,False,False,True,True,True,Primary School,Married,Employed,2,2,0,0,99.62
200,55-64,Male,Other,Rent,False,False,True,True,False,False,False,True,True,False,False,Middle School,Married,Retired,1,1,0,0,85.54
201,25-34,Male,Turk,Houseowner,True,True,True,False,True,False,False,True,True,True,False,High School,Married,Retired,1,2,0,0,99.62
202,25-34,Male,Turk,Houseowner,False,False,True,False,False,False,False,True,False,True,False,Primary School,Married,Retired,2,1,0,0,100.0
203,45-54,Male,Other,Rent,True,False,False,True,False,False,True,False,False,True,True,Middle School,Single,Retired,2,1,0,0,95.83
204,65+,Male,Turk,Houseowner,False,True,False,True,False,False,False,False,True,True,True,Primary School,Married,Retired,3,2,0,0,89.45
205,65+,Male,Turk,Houseowner,True,True,False,True,False,False,True,True,False,True,True,Primary School,Married,Unemployed,3,0,0,0,95.69
206,25-34,Male,Other,Rent,False,False,True,False,True,False,False,True,False,True,True,Middle School,Single,Retired,2,1,0,0,100.0
207,15-17,Female,Other,Houseowner,True,False,False,False,False,False,False,True,True,False,True,Primary School,Single,Student,0,2,0,0,100.0
208,65+,Female,Turk,Rent,True,True,False,False,False,False,True,False,True,False,False,Primary School,Married,Retired,2,1,0,0,71.87
209,35-44,Male,Turk,Houseowner,False,False,False,False,True,True,False,False,True,True,False,Middle School,Single,Retired,0,1,0,0,91.26
210,35-44,Male,Turk,Rent,True,False,True,False,True,False,False,True,True,True,False,Primary School,Married,Student,3,0,0,0,99.62
211,45-54,Female,Turk,Houseowner,False,False,False,True,False,False,True,True,True,True,False,Primary School,Married,Employed,3,1,0,0,93.11
212,25-34,Female,Turk,Rent,True,False,True,False,False,False,True,True,True,True,True,Primary School,Single,Unemployed,2,1,0,0,100.0
213,35-44,Male,Other,Houseowner,True,True,False,False,True,False,False,True,False,True,False,Primary School,Divorced,Employed,2,0,0,0,100.0
214,35-44,Male,Other,Houseowner,True,True,True,False,False,False,False,True,False,True,True,Bachelor’s Degree,Single,Employed,4,1,0,0,88.92
