age_group,gender,race_ethnicity,education_level,marital_status,employment_status,housing_status,has_dependents,prior_convictions,juvenile_convictions,prior_probation_violation,prior_incarceration,substance_abuse_history,mental_health_issues,gang_affiliation,aggression_history,compliance_history,motivation_to_change,stable_employment_past,positive_social_support,recidivism
35-44,Male,Turk,High School,Married,Unemployed,Homeless,False,5,5,True,False,True,False,False,False,True,False,False,False,2
55-64,Male,Other,High School,Married,Student,Homeless,True,2,2,True,False,True,True,False,False,True,False,False,False,1
65+,Male,Kurd,Primary School,Married,Student,Houseowner,True,0,1,False,False,False,False,False,True,False,True,False,True,0
45-54,Male,Kurd,Middle School,Divorced,Unemployed,Houseowner,False,1,5,False,False,True,True,False,True,True,False,True,True,2
25-34,Male,Turk,Master/PhD,Single,Unemployed,Rent,False,1,1,False,True,False,True,False,True,False,True,False,False,0
25-34,Male,Kurd,Literate without schooling,Divorced,Employed,Houseowner,False,1,5,False,True,False,True,False,True,False,False,True,True,2
25-34,Female,Arab,High School,Single,Student,Houseowner,True,3,1,True,False,False,False,True,False,False,False,True,False,1
55-64,Male,Kurd,Illiterate,Single,Unemployed,Houseowner,False,3,2,False,True,False,False,False,True,False,True,False,True,2
18-24,Female,Kurd,Illiterate,Single,Student,Rent,True,2,2,True,True,True,False,False,True,False,True,True,True,2
15-17,Male,Turk,Master/PhD,Divorced,Unemployed,Rent,True,0,1,False,True,False,False,False,False,False,False,True,False,0
18-24,Male,Turk,Illiterate,Divorced,Retired,Houseowner,True,4,2,False,True,False,True,False,True,True,True,False,True,2
12-14,Male,Kurd,High School,Divorced,Student,Homeless,False,5,2,False,True,True,True,False,True,False,False,True,False,2
12-14,Male,Other,Middle School,Single,Unemployed,Rent,True,2,3,False,False,True,False,True,True,False,True,False,False,2
12-14,Male,Turk,Bachelor’s Degree,Divorced,Unemployed,Houseowner,False,1,1,False,True,True,True,False,True,True,True,True,False,1
55-64,Male,Turk,Middle School,Single,Student,Rent,False,3,1,False,False,True,True,False,True,True,False,True,True,0
45-54,Male,Turk,High School,Married,Employed,Houseowner,False,5,1,True,False,False,True,False,False,True,False,True,False,1
45-54,Male,Turk,Master/PhD,Divorced,Employed,Homeless,False,2,4,False,False,True,True,False,False,True,False,True,True,2
25-34,Male,Other,Bachelor’s Degree,Single,Employed,Rent,True,2,1,False,False,True,False,False,True,True,True,False,False,0
45-54,Male,Arab,Bachelor’s Degree,Single,Unemployed,Rent,True,1,1,True,True,False,True,False,True,False,False,True,False,0
15-17,Female,Turk,Literate without schooling,Single,Unemployed,Rent,True,2,0,True,True,True,False,False,False,True,False,True,False,1
65+,Male,Turk,Literate without schooling,Divorced,Unemployed,Houseowner,False,4,1,False,False,True,True,False,False,True,False,True,False,1
35-44,Female,Turk,Middle School,Married,Employed,Homeless,True,2,0,False,False,True,True,True,False,False,False,True,False,1
65+,Female,Turk,High School,Single,Unemployed,Homeless,True,1,1,False,True,False,False,True,False,False,True,False,False,0
15-17,Female,Kurd,High School,Married,Unemployed,Rent,False,3,0,True,False,False,True,False,False,False,True,True,False,1
25-34,Female,Arab,Bachelor’s Degree,Divorced,Unemployed,Rent,True,4,6,True,True,False,True,False,False,False,True,False,False,2
45-54,Male,Kurd,Illiterate,Single,Student,Houseowner,False,1,0,True,True,True,True,False,False,True,False,False,True,0
25-34,Male,Turk,Literate without schooling,Married,Unemployed,Houseowner,True,2,4,True,False,True,True,False,True,False,False,True,True,2
25-34,Male,Arab,Literate without schooling,Single,Retired,Houseowner,True,4,0,False,True,True,True,False,True,False,True,True,True,1
15-17,Female,Arab,Middle School,Single,Retired,Rent,True,1,1,True,False,True,False,False,False,False,True,False,True,0
25-34,Male,Turk,High School,Married,Student,Rent,True,3,4,True,True,True,True,True,True,False,True,True,True,2
15-17,Male,Kurd,Illiterate,Married,Student,Homeless,True,4,2,False,False,True,True,False,False,True,False,False,False,2
18-24,Female,Kurd,Master/PhD,Married,Employed,Houseowner,True,1,2,True,True,False,True,False,True,True,True,True,True,0
45-54,Male,Arab,Primary School,Single,Student,Houseowner,True,1,1,True,False,False,True,False,True,True,False,True,False,1
45-54,Male,Turk,High School,Married,Unemployed,Houseowner,True,3,1,False,False,True,True,False,False,False,False,True,True,1
35-44,Male,Turk,Bachelor’s Degree,Married,Unemployed,Homeless,True,1,1,True,False,False,True,False,True,False,False,False,False,1
18-24,Male,Turk,Illiterate,Married,Retired,Rent,False,4,1,False,True,True,True,False,True,True,True,False,True,1
65+,Male,Turk,Master/PhD,Married,Employed,Rent,False,1,2,True,False,False,True,False,False,False,True,False,True,0
12-14,Female,Turk,Master/PhD,Single,Unemployed,Rent,True,3,0,False,True,False,True,False,False,False,False,True,False,1
18-24,Male,Arab,Master/PhD,Single,Retired,Rent,False,3,0,False,False,True,True,True,False,True,False,True,False,0
12-14,Male,Turk,Illiterate,Divorced,Retired,Houseowner,True,1,0,False,True,False,True,True,True,False,True,False,True,1
18-24,Male,Turk,Primary School,Married,Student,Houseowner,True,1,2,True,True,False,True,False,False,False,False,True,False,1
65+,Male,Other,Literate without schooling,Married,Student,Houseowner,True,2,2,True,True,False,True,False,False,False,True,False,False,1
18-24,Male,Kurd,Middle School,Divorced,Retired,Houseowner,True,0,1,True,False,False,True,True,False,False,False,False,True,0
65+,Female,Turk,Master/PhD,Single,Employed,Rent,True,5,0,False,False,True,False,False,False,False,True,True,True,0
25-34,Female,Kurd,Bachelor’s Degree,Divorced,Unemployed,Houseowner,False,2,0,True,False,False,True,False,False,False,True,True,False,0
45-54,Male,Turk,Bachelor’s Degree,Married,Employed,Rent,False,2,2,True,False,True,True,False,True,False,True,False,True,1
25-34,Male,Turk,Primary School,Divorced,Unemployed,Rent,True,2,2,False,True,True,False,False,True,True,True,False,False,2
18-24,Male,Kurd,Master/PhD,Married,Retired,Rent,True,4,3,True,False,False,True,False,False,True,False,True,True,2
55-64,Male,Turk,Master/PhD,Married,Student,Homeless,False,1,2,True,True,True,False,True,False,True,True,True,False,0
65+,Male,Turk,Bachelor’s Degree,Married,Retired,Houseowner,False,2,4,True,False,False,False,False,False,False,True,False,False,1
18-24,Male,Turk,Bachelor’s Degree,Single,Student,Rent,True,1,2,False,False,True,False,True,False,True,True,False,True,0
55-64,Male,Arab,High School,Married,Retired,Houseowner,False,1,1,False,True,True,True,False,True,True,False,False,True,0
18-24,Female,Turk,Illiterate,Divorced,Employed,Rent,True,2,2,False,True,False,True,False,False,False,True,True,False,1
45-54,Male,Arab,Literate without schooling,Married,Unemployed,Rent,False,1,3,True,True,True,True,True,True,False,False,True,False,2
55-64,Female,Turk,Bachelor’s Degree,Single,Unemployed,Houseowner,False,2,0,True,True,False,True,True,False,True,True,False,False,0
25-34,Male,Kurd,Primary School,Divorced,Retired,Houseowner,True,1,2,True,False,True,False,False,False,False,True,False,False,1
45-54,Female,Turk,Literate without schooling,Single,Student,Rent,False,2,3,False,True,False,True,True,False,True,True,False,False,2
18-24,Male,Turk,Master/PhD,Single,Employed,Rent,False,3,4,False,False,False,True,False,False,True,True,True,False,1
12-14,Male,Kurd,Middle School,Single,Employed,Rent,False,4,0,False,True,False,True,False,False,False,True,False,False,1
12-14,Female,Kurd,Master/PhD,Single,Unemployed,Rent,False,1,1,False,False,False,False,False,False,True,True,True,True,0
25-34,Female,Turk,Literate without schooling,Single,Employed,Rent,False,3,1,True,False,True,False,False,False,False,False,True,False,1
65+,Male,Turk,Primary School,Single,Student,Rent,True,2,3,False,False,True,False,False,True,True,False,True,False,2
15-17,Male,Turk,Primary School,Divorced,Retired,Houseowner,False,3,1,False,True,False,True,True,False,True,True,True,False,2
25-34,Male,Turk,Primary School,Married,Retired,Rent,False,3,2,True,False,False,False,False,True,True,False,True,True,2
45-54,Male,Kurd,Middle School,Single,Employed,Rent,False,4,1,True,False,True,False,True,True,True,True,True,False,2
15-17,Male,Turk,Primary School,Married,Unemployed,Rent,True,2,1,True,False,False,False,True,False,False,False,True,False,2
45-54,Female,Kurd,Bachelor’s Degree,Divorced,Student,Rent,False,2,1,True,False,True,True,False,False,True,False,False,False,0
18-24,Male,Turk,Primary School,Divorced,Unemployed,Rent,True,2,1,False,False,False,True,False,False,False,True,True,True,1
55-64,Male,Turk,Middle School,Single,Unemployed,Homeless,False,3,1,True,True,False,True,True,True,True,False,True,True,2
35-44,Male,Turk,Master/PhD,Single,Employed,Rent,True,1,1,False,False,True,True,False,True,True,False,False,False,0
35-44,Male,Turk,Middle School,Divorced,Employed,Houseowner,True,3,1,True,False,True,False,False,True,True,False,True,True,1
15-17,Male,Turk,Illiterate,Married,Unemployed,Homeless,False,4,2,True,True,False,True,False,False,False,False,False,False,2
25-34,Male,Other,Illiterate,Divorced,Employed,Houseowner,True,3,1,False,False,False,False,True,True,False,False,False,False,2
55-64,Male,Turk,Middle School,Single,Employed,Rent,True,2,1,False,True,True,True,False,True,False,True,False,True,0
12-14,Male,Arab,High School,Single,Student,Houseowner,True,1,1,True,True,True,False,False,False,False,True,False,True,0
55-64,Female,Turk,Master/PhD,Married,Retired,Rent,True,4,3,True,False,False,False,False,True,False,True,False,True,1
25-34,Male,Turk,Illiterate,Single,Student,Homeless,True,0,1,True,True,False,False,False,True,True,False,False,False,1
